Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.436,42,460,7,r210n04.gzip,[320],222,0.97,,0.0,,,,"[[2632    0]
 [  84    0]]",0.99,0.5,0.01,0.03,0.01,0.01,"[[13416     1]
 [  158     1]]",0.97,0.48,0.47,0.48,0.47,0.47,"[[2587   43]
 [  46   40]]",0.98,0.26,0.52,0.29,0.35,0.44,"[[13168   242]
 [   79    87]]"
1,1.775,42,460,27,r210n04.gzip,[259],145,0.97,1.0,0.01,0.06,0.02,0.01,"[[2632    0]
 [  83    1]]",0.99,0.67,0.01,0.06,0.02,0.02,"[[13416     1]
 [  157     2]]",0.8,0.11,0.62,0.13,0.18,0.32,"[[2120  500]
 [  36   60]]",0.81,0.05,0.68,0.06,0.09,0.19,"[[10936  2453]
 [   60   127]]"
1,1.175,42,460,22,r210n04.gzip,[391],332,0.89,0.18,0.59,0.21,0.27,0.4,"[[2361  260]
 [  39   56]]",0.9,0.09,0.66,0.11,0.16,0.29,"[[12087  1298]
 [   64   127]]",0.96,0.44,0.6,0.47,0.51,0.56,"[[2552   71]
 [  37   56]]",0.97,0.29,0.66,0.32,0.4,0.52,"[[13094   300]
 [   62   120]]"
1,1.257,42,460,30,r210n04.gzip,[365],290,0.89,0.17,0.6,0.2,0.27,0.4,"[[2364  260]
 [  37   55]]",0.9,0.09,0.67,0.1,0.15,0.29,"[[12083  1307]
 [   62   124]]",0.95,0.36,0.56,0.39,0.44,0.5,"[[2540   88]
 [  39   49]]",0.96,0.2,0.61,0.23,0.3,0.43,"[[12967   435]
 [   67   107]]"
1,1.517,42,460,5,r210n04.gzip,[303],199,0.97,1.0,0.01,0.06,0.02,0.01,"[[2632    0]
 [  83    1]]",0.99,0.67,0.01,0.06,0.02,0.02,"[[13416     1]
 [  157     2]]",0.97,0.59,0.57,0.58,0.58,0.57,"[[2593   35]
 [  38   50]]",0.98,0.39,0.63,0.43,0.49,0.56,"[[13236   168]
 [   63   109]]"
2,1.264,42,460,14,r210n04.gzip,"[363, 287]",227,0.86,0.15,0.61,0.18,0.24,0.38,"[[2272  344]
 [  39   61]]",0.87,0.07,0.68,0.09,0.13,0.26,"[[11654  1718]
 [   65   139]]",0.93,0.28,0.59,0.31,0.38,0.49,"[[2474  146]
 [  39   57]]",0.94,0.15,0.66,0.18,0.25,0.4,"[[12665   718]
 [   65   128]]"
1,1.291,42,460,30,r207n17.gzip,[356],275,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.71,0.06,0.84,0.07,0.11,0.23,"[[1594  664]
 [   8   41]]",0.72,0.02,0.86,0.03,0.04,0.1,"[[8183 3262]
 [  13   77]]"
1,1.354,42,460,11,r207n17.gzip,[339],250,0.99,0.0,0.0,,,,"[[2273    1]
 [  33    0]]",0.99,0.2,0.02,0.06,0.03,0.02,"[[11471     4]
 [   59     1]]",0.98,0.39,0.73,0.43,0.51,0.62,"[[2236   38]
 [   9   24]]",0.98,0.19,0.73,0.22,0.3,0.46,"[[11285   190]
 [   16    44]]"
1,2.113,42,460,14,r207n17.gzip,[217],102,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.25,0.03,0.11,0.06,0.04,"[[11469     6]
 [   58     2]]",0.99,0.82,0.27,0.58,0.41,0.31,"[[2272    2]
 [  24    9]]",0.99,0.42,0.22,0.36,0.29,0.24,"[[11458    18]
 [   46    13]]"
1,1.436,42,460,7,r207n17.gzip,[320],222,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.25,0.03,0.11,0.06,0.04,"[[11469     6]
 [   58     2]]",0.99,1.0,0.15,0.47,0.26,0.18,"[[2274    0]
 [  28    5]]",1.0,0.75,0.15,0.42,0.25,0.18,"[[11473     3]
 [   50     9]]"
1,1.775,42,460,27,r207n17.gzip,[259],145,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.25,0.03,0.11,0.06,0.04,"[[11469     6]
 [   58     2]]",0.99,0.6,0.27,0.48,0.37,0.31,"[[2268    6]
 [  24    9]]",0.99,0.28,0.23,0.27,0.25,0.24,"[[11439    36]
 [   46    14]]"
1,1.175,42,460,22,r207n17.gzip,[391],332,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.97,0.32,0.76,0.36,0.45,0.6,"[[2221   53]
 [   8   25]]",0.97,0.14,0.75,0.17,0.23,0.4,"[[11188   286]
 [   15    46]]"
1,1.2570000000000001,42,460,30,r207n17.gzip,[365],290,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.4,0.03,0.12,0.06,0.04,"[[11472     3]
 [   58     2]]",0.97,0.29,0.76,0.33,0.42,0.57,"[[2208   65]
 [   8   26]]",0.97,0.11,0.77,0.13,0.19,0.35,"[[11084   389]
 [   14    48]]"
1,1.517,42,460,5,r207n17.gzip,[303],199,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.25,0.03,0.11,0.06,0.04,"[[11469     6]
 [   58     2]]",0.97,0.32,0.79,0.36,0.46,0.61,"[[2216   57]
 [   7   27]]",0.97,0.15,0.78,0.17,0.25,0.42,"[[11179   292]
 [   14    50]]"
2,1.264,42,460,14,r207n17.gzip,"[363, 287]",227,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.99,0.82,0.46,0.71,0.59,0.51,"[[2264    4]
 [  21   18]]",0.99,0.61,0.51,0.59,0.56,0.53,"[[11434    25]
 [   37    39]]"
1,1.291,42,460,30,r211n05.gzip,[356],275,0.98,0.5,0.03,0.12,0.06,0.04,"[[2137    1]
 [  33    1]]",0.99,0.17,0.03,0.08,0.05,0.03,"[[10775    10]
 [   69     2]]",0.9,0.14,0.7,0.17,0.23,0.39,"[[1930  196]
 [  14   32]]",0.9,0.07,0.78,0.08,0.13,0.25,"[[9721 1037]
 [  22   76]]"
1,1.354,42,460,11,r211n05.gzip,[339],250,0.85,0.11,0.77,0.14,0.2,0.36,"[[1812  308]
 [  12   40]]",0.86,0.05,0.82,0.07,0.1,0.22,"[[9204 1544]
 [  19   89]]",0.92,0.17,0.67,0.2,0.27,0.42,"[[1979  148]
 [  15   30]]",0.93,0.08,0.74,0.1,0.15,0.29,"[[9986  776]
 [  24   70]]"
1,2.113,42,460,14,r211n05.gzip,[217],102,0.98,0.2,0.03,0.09,0.05,0.04,"[[2134    4]
 [  33    1]]",0.99,0.06,0.03,0.05,0.04,0.03,"[[10752    33]
 [   69     2]]",0.92,0.14,0.62,0.17,0.23,0.37,"[[1961  166]
 [  17   28]]",0.92,0.07,0.73,0.09,0.13,0.26,"[[9887  876]
 [  25   68]]"
1,1.436,42,460,7,r211n05.gzip,[320],222,0.81,0.11,0.8,0.13,0.19,0.35,"[[1716  397]
 [  12   47]]",0.81,0.05,0.85,0.06,0.09,0.2,"[[8738 1994]
 [  19  105]]",0.93,0.18,0.67,0.21,0.28,0.43,"[[1983  143]
 [  15   31]]",0.93,0.09,0.75,0.11,0.16,0.3,"[[10018   743]
 [   24    71]]"
1,1.775,42,460,27,r211n05.gzip,[259],145,0.98,0.33,0.03,0.11,0.05,0.04,"[[2136    2]
 [  33    1]]",0.99,0.14,0.03,0.08,0.05,0.03,"[[10773    12]
 [   69     2]]",0.88,0.13,0.69,0.15,0.21,0.37,"[[1881  240]
 [  16   35]]",0.88,0.06,0.78,0.07,0.11,0.23,"[[9460 1289]
 [  24   83]]"
1,1.175,42,460,22,r211n05.gzip,[391],332,0.87,0.13,0.77,0.15,0.22,0.38,"[[1845  275]
 [  12   40]]",0.87,0.06,0.82,0.07,0.11,0.23,"[[9351 1400]
 [  19   86]]",0.92,0.16,0.7,0.19,0.26,0.42,"[[1957  169]
 [  14   32]]",0.92,0.08,0.76,0.09,0.14,0.28,"[[9893  867]
 [  23   73]]"
1,1.257,42,460,30,r211n05.gzip,[365],290,0.84,0.11,0.79,0.13,0.19,0.35,"[[1779  341]
 [  11   41]]",0.84,0.05,0.84,0.06,0.09,0.2,"[[9017 1731]
 [  17   91]]",0.91,0.15,0.7,0.18,0.25,0.41,"[[1950  176]
 [  14   32]]",0.91,0.08,0.76,0.09,0.14,0.27,"[[9860  900]
 [  23   73]]"
1,1.517,42,460,5,r211n05.gzip,[303],199,0.79,0.1,0.84,0.12,0.18,0.34,"[[1659  452]
 [  10   51]]",0.79,0.05,0.88,0.06,0.09,0.19,"[[8418 2310]
 [  15  113]]",0.91,0.15,0.7,0.18,0.25,0.41,"[[1951  175]
 [  14   32]]",0.92,0.08,0.76,0.09,0.14,0.27,"[[9863  897]
 [  23   73]]"
2,1.264,42,460,14,r211n05.gzip,"[363, 287]",227,0.98,0.26,0.18,0.24,0.22,0.2,"[[2114   20]
 [  31    7]]",0.98,0.16,0.31,0.18,0.21,0.26,"[[10634   138]
 [   58    26]]",0.97,0.23,0.31,0.24,0.26,0.29,"[[2093   40]
 [  27   12]]",0.98,0.16,0.42,0.18,0.23,0.32,"[[10577   194]
 [   49    36]]"
2,1.222,42,460,28,r205n13.gzip,"[376, 307]",251,0.94,0.8,0.98,0.83,0.88,0.94,"[[1064   81]
 [   6  333]]",0.93,0.56,0.99,0.62,0.72,0.86,"[[6216  522]
 [   9  670]]",0.94,0.81,0.99,0.84,0.89,0.95,"[[1064   81]
 [   4  335]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6206  532]
 [   7  672]]"
2,1.222,42,460,28,r207n17.gzip,"[376, 307]",251,0.99,0.5,0.03,0.12,0.06,0.04,"[[2273    1]
 [  32    1]]",0.99,0.29,0.03,0.11,0.06,0.04,"[[11470     5]
 [   58     2]]",0.99,0.58,0.42,0.54,0.48,0.44,"[[2260   11]
 [  21   15]]",0.99,0.32,0.43,0.34,0.37,0.4,"[[11410    60]
 [   37    28]]"
2,1.222,42,460,28,r207n11.gzip,"[376, 307]",251,0.99,0.64,0.54,0.61,0.58,0.56,"[[2257   12]
 [  18   21]]",0.99,0.54,0.6,0.55,0.57,0.58,"[[11427    37]
 [   29    43]]",0.99,0.72,0.49,0.66,0.58,0.52,"[[2264    7]
 [  19   18]]",0.99,0.54,0.55,0.54,0.55,0.55,"[[11435    32]
 [   31    38]]"
2,1.222,42,460,28,r207n14.gzip,"[376, 307]",251,0.96,0.64,0.8,0.66,0.71,0.76,"[[2780   77]
 [  33  135]]",0.97,0.42,0.81,0.46,0.55,0.68,"[[14399   384]
 [   66   273]]",0.99,0.94,0.79,0.91,0.86,0.81,"[[2849    8]
 [  36  132]]",0.99,0.88,0.79,0.86,0.83,0.81,"[[14747    38]
 [   70   267]]"
2,1.222,42,460,28,r210n04.gzip,"[376, 307]",251,0.88,0.17,0.61,0.2,0.27,0.41,"[[2343  278]
 [  37   58]]",0.89,0.09,0.68,0.1,0.15,0.29,"[[12008  1376]
 [   62   130]]",0.97,0.5,0.54,0.51,0.52,0.53,"[[2582   47]
 [  40   47]]",0.98,0.35,0.61,0.38,0.44,0.53,"[[13225   186]
 [   65   100]]"
2,1.222,42,460,28,r211n05.gzip,"[376, 307]",251,0.98,0.21,0.17,0.2,0.19,0.17,"[[2114   22]
 [  30    6]]",0.98,0.14,0.28,0.15,0.18,0.23,"[[10630   145]
 [   58    23]]",0.97,0.22,0.33,0.24,0.27,0.3,"[[2088   45]
 [  26   13]]",0.97,0.13,0.45,0.15,0.2,0.3,"[[10508   262]
 [   47    39]]"
